AutoResonance.py data
Thu Oct  9 10:48:01 2025
amplitude 1.50
frequency range 0.20 to 0.70 by 0.05 Hz
sampling period 100 ms, 1024 points per sample set taken 120 seconds after frequency adjustment

Frequency	C1 amp	C1 phase	C2 Amp	C2 phase
0.20	4.10988	-0.84627	2.53553	-1.03854
0.25	5.73464	-0.18492	3.37921	0.31662
0.30	10.38527	-2.22218	8.93647	1.18752
0.35	0.00000	0.00000	0.00000	0.00000
0.40	0.00000	0.00000	0.00000	0.00000
0.45	0.00000	0.00000	0.00000	0.00000
0.50	0.00000	0.00000	0.00000	0.00000
0.55	0.00000	0.00000	0.00000	0.00000
0.60	0.00000	0.00000	0.00000	0.00000
0.65	0.00000	0.00000	0.00000	0.00000
