AutoResonance.py data
Tue May 19 11:12:17 2026
amplitude 2.00
frequency range 0.20 to 1.20 by 0.01 Hz
sampling period 100 ms, 1024 points per sample set taken 120 seconds after frequency adjustment

Frequency	C1 amp	C1 phase
0.20	3.37809	-0.26398
0.21	3.29053	-0.26551
0.22	3.47731	-0.26083
0.23	3.58059	-0.27258
0.24	3.78821	-0.26805
0.25	3.95036	-0.28198
0.26	4.40068	-0.28651
0.27	4.58393	-0.29394
0.28	4.70943	-0.31248
0.29	4.83426	-0.31469
0.30	5.02620	-0.31121
0.31	5.17871	-0.32066
0.32	5.34414	-0.33648
0.33	5.50217	-0.33714
0.34	5.64409	-0.34522
0.35	5.81396	-0.35286
0.36	5.97119	-0.36519
0.37	6.16300	-0.36581
0.38	6.29541	-0.36961
0.39	6.49858	-0.37785
0.40	6.65549	-0.38552
0.41	6.79334	-0.39173
0.42	6.95431	-0.38670
0.43	7.09848	-0.39696
0.44	7.18484	-0.40120
0.45	7.29280	-0.40750
0.46	7.38823	-0.42753
0.47	7.68836	-0.41815
0.48	7.89187	-0.42796
0.49	8.01320	-0.43999
0.50	8.10760	-0.45027
0.51	8.28456	-0.45977
0.52	8.57122	-0.45960
0.53	8.67362	-0.46612
0.54	8.78932	-0.47562
0.55	8.89776	-0.48903
0.56	9.13486	-0.50087
0.57	9.32594	-0.50947
0.58	9.42419	-0.51759
0.59	9.74017	-0.51631
0.60	9.94391	-0.52183
0.61	10.23282	-0.53725
0.62	10.56618	-0.53816
0.63	11.46385	-0.54672
0.64	13.09574	-0.56527
0.65	15.25354	-0.56490
0.66	17.68657	-0.58185
0.67	20.94654	-0.59674
0.68	25.53782	-0.61004
0.69	31.66939	-0.62314
0.70	41.66160	-0.65702
0.71	60.65544	-0.69972
0.72	110.83840	-0.82524
0.73	155.05045	-1.01968
0.74	185.80005	-2.00851
