AutoResonance.py data
Tue May 19 15:10:27 2026
amplitude 2.00
frequency range 0.20 to 1.20 by 0.01 Hz
sampling period 100 ms, 1024 points per sample set taken 120 seconds after frequency adjustment

Frequency	C1 amp	C1 phase
0.20	0.81195	2.82731
0.21	0.80157	1.00061
0.22	0.83902	2.26981
0.23	0.85346	-2.68543
0.24	0.86141	-1.32406
0.25	0.92975	-0.02947
0.26	0.96635	1.27363
0.27	0.99687	2.65288
0.28	1.02120	-2.24176
0.29	1.04251	-0.96650
0.30	1.06639	0.39928
0.31	1.09998	1.65527
0.32	1.07837	3.00889
0.33	1.04926	-1.91452
0.34	1.08481	-0.62839
0.35	1.11986	0.72173
0.36	1.07629	1.93263
0.37	1.10562	-2.95411
0.38	1.16132	-1.58261
0.39	1.19902	-0.23389
0.40	1.37805	1.10272
0.41	1.36327	2.45354
0.42	1.29488	-2.55489
0.43	1.28263	-1.19217
0.44	1.31661	0.12148
0.45	1.33567	1.46123
0.46	1.33762	2.86342
0.47	1.34778	-2.06987
0.48	1.36612	-0.78647
0.49	1.37488	0.58329
0.50	1.37772	1.98416
0.51	1.38503	-3.07033
0.52	1.41381	-1.71884
0.53	1.40620	-0.35518
0.54	1.38752	1.02927
0.55	1.51015	2.33373
0.56	1.58460	-2.64467
0.57	1.57121	-1.31360
0.58	1.60840	0.03148
0.59	1.56278	1.33380
0.60	1.51136	2.67105
0.61	1.55139	-2.33790
0.62	1.85681	-0.94333
0.63	2.00787	-2.77502
0.64	2.19258	-1.45148
0.65	2.65214	-0.07630
0.66	2.83568	1.13699
0.67	3.19705	2.50850
0.68	3.98268	-2.39927
0.69	4.56998	-1.04152
0.70	6.22142	0.24869
0.71	8.96563	1.53314
0.72	12.85927	2.78136
0.73	32.55924	-2.47924
0.74	44.84039	-2.36561
0.75	22.62908	-1.30606
0.76	14.98723	-0.07843
0.77	10.56812	1.24440
0.78	8.20264	2.42215
0.79	6.82206	-2.59796
0.80	5.85101	-1.18789
0.81	5.05266	0.07879
0.82	4.36896	1.40530
0.83	3.77526	2.85066
0.84	3.43351	-2.18110
0.85	3.25666	-0.84088
0.86	2.90081	0.46430
0.87	2.57778	1.82110
0.88	2.46276	-3.06740
0.89	2.38151	-1.78230
0.90	2.30509	-0.43877
0.91	2.09889	0.89923
0.92	1.89919	2.22883
0.93	1.78699	-2.64868
0.94	1.68874	-1.41946
0.95	1.54175	0.05568
0.96	1.48481	1.20001
0.97	1.32739	2.57145
0.98	1.18671	-2.28240
0.99	1.04075	-1.11028
1.00	0.97023	0.30868
1.01	0.88552	1.67094
1.02	0.83659	2.82472
1.03	0.76214	-1.94983
1.04	0.70295	-0.52617
1.05	0.69381	-2.54572
1.06	0.70750	-1.19865
1.07	0.73053	0.16321
1.08	0.73108	1.57158
1.09	0.74361	2.73946
1.10	0.75064	-2.06303
1.11	0.76182	-0.72761
1.12	0.76391	0.58256
1.13	0.75984	1.83589
1.14	0.76664	-2.96325
