AutoResonance.py data
Wed May 20 08:40:18 2026
amplitude 0.45
frequency range 0.20 to 1.20 by 0.01 Hz
sampling period 100 ms, 1024 points per sample set taken 60 seconds after frequency adjustment

Frequency	C1 amp	C1 phase
0.20	0.73182	-0.42436
0.21	0.72803	-0.42297
0.22	0.74745	-0.43361
0.23	0.81536	-0.42212
0.24	0.86533	-0.44018
0.25	0.91225	-0.45737
0.26	0.93262	-0.46761
0.27	1.00572	-0.50603
0.28	1.03666	-0.52762
0.29	1.07633	-0.52974
0.30	1.12468	-0.52692
0.31	1.12715	-0.54190
0.32	1.22375	-0.51664
0.33	1.28043	-0.52424
0.34	1.29352	-0.53679
0.35	1.33182	-0.54401
0.36	1.34581	-0.56139
0.37	1.36280	-0.57428
0.38	1.37894	-0.59640
0.39	1.38662	-0.61055
0.40	1.41219	-0.63397
0.41	1.43023	-0.63854
0.42	1.44360	-0.64790
0.43	1.42342	-0.62889
0.44	1.45072	-0.61992
0.45	1.48835	-0.62126
0.46	1.51242	-0.63088
0.47	1.57579	-0.63799
0.48	1.57938	-0.64797
0.49	1.56534	-0.66118
0.50	1.53754	-0.67810
0.51	1.54299	-0.68817
0.52	1.52499	-0.69396
0.53	1.49545	-0.69802
0.54	1.47698	-0.70723
0.55	1.49610	-0.72534
0.56	1.54233	-0.71871
0.57	1.64135	-0.74900
0.58	1.62931	-0.77020
0.59	1.60102	-0.77571
0.60	1.56502	-0.79052
0.61	1.56513	-0.79395
0.62	1.56950	-0.80901
0.63	1.76452	-0.91701
0.64	2.02194	-0.84600
0.65	2.42649	-0.87118
0.66	3.05739	-0.91162
0.67	3.36290	-0.93991
0.68	4.08803	-0.98505
0.69	4.84326	-0.99219
0.70	5.96991	-1.00863
0.71	7.05819	-1.02486
0.72	9.54693	-1.09463
0.73	14.67444	-1.18246
0.74	33.91929	-1.45072
0.75	48.38450	-2.72574
0.76	22.53200	-3.05170
0.77	14.85028	3.08848
0.78	11.00785	2.97674
0.79	9.22933	2.94545
0.80	7.45242	2.90383
0.81	6.37302	2.87578
0.82	5.37974	2.86190
0.83	4.37503	2.84032
0.84	4.04301	2.80239
0.85	3.56447	2.79121
0.86	3.31191	2.77744
0.87	2.88102	2.76733
0.88	2.74419	2.75352
0.89	2.53116	2.75344
0.90	2.31238	2.75288
0.91	2.15817	2.73792
0.92	2.01193	2.73202
0.93	1.80069	2.70362
0.94	1.67776	2.70792
0.95	1.59931	2.69846
0.96	1.43643	2.69674
0.97	1.28349	2.68278
0.98	1.12852	2.65301
0.99	1.08547	2.65741
1.00	0.97654	2.63977
1.01	0.88877	2.62187
1.02	0.78432	2.61680
1.03	0.73755	2.61365
1.04	0.74438	2.59592
1.05	0.71787	2.60104
1.06	0.69599	2.59790
1.07	0.76700	2.57740
1.08	0.76521	2.55729
1.09	0.76676	2.56368
1.10	0.74800	2.54665
1.11	0.73744	2.53867
1.12	0.74098	2.54494
1.13	0.74663	2.55026
1.14	0.74472	2.52249
1.15	0.80596	2.50755
1.16	0.79353	2.51273
1.17	0.73926	2.50106
1.18	0.71334	2.48361
1.19	0.70242	2.48048
