Servo x	Yellow x	Green x
-0.0049	-0.0985	-0.2007
-0.0044	-0.1247	-0.2215
-0.0010	-0.1495	-0.2402
-0.0010	-0.1728	-0.2566
0.0024	-0.1938	-0.2703
0.0024	-0.2130	-0.2813
0.0077	-0.2296	-0.2894
0.0077	-0.2438	-0.2948
0.0107	-0.2551	-0.2970
0.0107	-0.2637	-0.2963
0.0145	-0.2691	-0.2928
0.0148	-0.2715	-0.2862
0.0169	-0.2710	-0.2769
0.0169	-0.2676	-0.2649
0.0185	-0.2612	-0.2502
0.0185	-0.2519	-0.2330
0.0198	-0.2399	-0.2134
0.0198	-0.2252	-0.1916
0.0200	-0.2081	-0.1684
0.0200	-0.1884	-0.1431
0.0194	-0.1669	-0.1164
0.0194	-0.1436	-0.0887
0.0176	-0.1184	-0.0603
0.0176	-0.0921	-0.0314
0.0158	-0.0649	-0.0027
0.0158	-0.0365	0.0265
0.0131	-0.0081	0.0549
0.0131	0.0208	0.0826
0.0099	0.0495	0.1095
0.0099	0.0774	0.1350
0.0053	0.1049	0.1588
0.0053	0.1311	0.1808
0.0020	0.1559	0.2009
0.0020	0.1791	0.2183
-0.0020	0.2005	0.2333
-0.0020	0.2201	0.2455
-0.0067	0.2370	0.2551
-0.0067	0.2517	0.2615
-0.0103	0.2639	0.2649
-0.0103	0.2735	0.2654
-0.0131	0.2803	0.2627
-0.0131	0.2840	0.2571
-0.0166	0.2850	0.2487
-0.0166	0.2830	0.2372
-0.0183	0.2784	0.2230
-0.0183	0.2708	0.2063
-0.0195	0.2605	0.1870
-0.0195	0.2475	0.1654
-0.0200	0.2321	0.1421
-0.0200	0.2144	0.1169
-0.0196	0.1943	0.0902
-0.0196	0.1723	0.0625
-0.0185	0.1483	0.0341
-0.0185	0.1228	0.0047
-0.0161	0.0958	-0.0245
-0.0161	0.0681	-0.0539
-0.0134	0.0395	-0.0828
-0.0134	0.0105	-0.1110
-0.0107	-0.0186	-0.1382
-0.0107	-0.0475	-0.1639
-0.0049	-0.0757	-0.1882
-0.0049	-0.1034	-0.2107
-0.0024	-0.1296	-0.2311
-0.0024	-0.1546	-0.2490
0.0015	-0.1779	-0.2647
0.0015	-0.1992	-0.2774
0.0063	-0.2183	-0.2877
0.0063	-0.2350	-0.2948
0.0094	-0.2490	-0.2990
0.0094	-0.2600	-0.3002
0.0138	-0.2683	-0.2985
0.0138	-0.2737	-0.2936
0.0164	-0.2759	-0.2860
0.0164	-0.2752	-0.2757
0.0181	-0.2710	-0.2625
0.0181	-0.2642	-0.2468
0.0196	-0.2544	-0.2286
0.0196	-0.2419	-0.2083
0.0200	-0.2264	-0.1858
0.0200	-0.2085	-0.1617
0.0197	-0.1884	-0.1358
0.0197	-0.1661	-0.1086
0.0176	-0.1421	-0.0806
0.0176	-0.1162	-0.0520
0.0158	-0.0892	-0.0228
0.0158	-0.0613	0.0061
0.0141	-0.0321	0.0353
0.0141	-0.0032	0.0640
0.0111	0.0262	0.0914
0.0111	0.0554	0.1184
0.0063	0.0838	0.1434
0.0063	0.1115	0.1669
0.0029	0.1382	0.1887
0.0029	0.1632	0.2083
-0.0005	0.1867	0.2252
-0.0005	0.2083	0.2394
-0.0058	0.2277	0.2512
-0.0058	0.2446	0.2600
-0.0090	0.2590	0.2659
-0.0090	0.2708	0.2686
-0.0123	0.2796	0.2683
-0.0123	0.2855	0.2649
-0.0158	0.2887	0.2585
-0.0158	0.2884	0.2492
-0.0176	0.2855	0.2367
-0.0176	0.2796	0.2218
-0.0191	0.2708	0.2041
-0.0191	0.2590	0.1838
-0.0200	0.2448	0.1615
-0.0200	0.2279	0.1372
-0.0198	0.2088	0.1113
-0.0198	0.1875	0.0838
-0.0190	0.1642	0.0556
-0.0190	0.1392	0.0262
-0.0166	0.1130	-0.0037
-0.0166	0.0853	-0.0336
-0.0145	0.0571	-0.0635
-0.0145	0.0279	-0.0926
-0.0115	-0.0012	-0.1211
-0.0115	-0.0306	-0.1485
-0.0072	-0.0595	-0.1742
-0.0072	-0.0877	-0.1985
-0.0039	-0.1149	-0.2208
-0.0039	-0.1409	-0.2409
0.0015	-0.1654	-0.2583
0.0015	-0.1880	-0.2732
0.0049	-0.2088	-0.2855
0.0049	-0.2272	-0.2950
0.0086	-0.2428	-0.3014
0.0086	-0.2558	-0.3046
0.0131	-0.2661	-0.3048
0.0131	-0.2735	-0.3019
0.0155	-0.2779	-0.2960
0.0155	-0.2789	-0.2872
0.0174	-0.2769	-0.2754
0.0174	-0.2720	-0.2612
0.0194	-0.2642	-0.2443
0.0194	-0.2534	-0.2252
0.0199	-0.2397	-0.2036
0.0199	-0.2235	-0.1801
0.0198	-0.2046	-0.1549
0.0198	-0.1835	-0.1282
0.0187	-0.1605	-0.1002
0.0187	-0.1355	-0.0718
0.0172	-0.1090	-0.0424
0.0172	-0.0814	-0.0130
0.0148	-0.0527	0.0164
0.0148	-0.0233	0.0458
0.0111	0.0064	0.0743
0.0111	0.0363	0.1019
0.0077	0.0654	0.1284
0.0077	0.0941	0.1532
0.0039	0.1223	0.1764
0.0039	0.1487	0.1975
0.0005	0.1737	0.2164
0.0005	0.1970	0.2326
-0.0044	0.2183	0.2463
-0.0049	0.2372	0.2571
-0.0081	0.2536	0.2651
-0.0081	0.2674	0.2700
-0.0111	0.2786	0.2718
-0.0111	0.2867	0.2703
-0.0151	0.2916	0.2661
-0.0151	0.2936	0.2585
-0.0172	0.2926	0.2482
-0.0174	0.2884	0.2350
-0.0187	0.2813	0.2191
-0.0187	0.2713	0.2005
-0.0199	0.2585	0.1796
-0.0199	0.2428	0.1563
-0.0199	0.2250	0.1316
-0.0199	0.2046	0.1049
-0.0193	0.1821	0.0769
-0.0193	0.1578	0.0483
-0.0174	0.1318	0.0184
-0.0174	0.1044	-0.0115
-0.0151	0.0760	-0.0417
-0.0151	0.0468	-0.0716
-0.0115	0.0169	-0.1007
-0.0115	-0.0127	-0.1294
-0.0081	-0.0424	-0.1566
-0.0081	-0.0718	-0.1823
-0.0044	-0.1000	-0.2063
-0.0044	-0.1272	-0.2281
-0.0010	-0.1532	-0.2475
-0.0010	-0.1772	-0.2647
0.0039	-0.1995	-0.2791
0.0039	-0.2193	-0.2909
0.0072	-0.2370	-0.2997
