AutoResonance.py data
Tue Oct 14 12:29:43 2025
amplitude 1.50
frequency range 0.25 to 0.75 by 0.01 Hz
sampling period 100 ms, 1024 points per sample set taken 120 seconds after frequency adjustment

Frequency	C1 amp	C1 phase	C2 Amp	C2 phase
0.25	6.14265	-0.77431	4.09399	-0.90691
0.26	6.79589	-0.80569	4.59633	-0.93235
0.27	7.95727	-0.90206	5.64947	-0.96128
0.28	9.29349	-0.85719	6.84157	-0.94607
0.29	11.54659	-0.93796	9.02755	-0.98119
0.30	14.25928	-0.97047	11.82264	-1.00873
0.31	21.21617	-1.10039	19.07646	-1.07795
0.32	45.21594	-1.28247	43.52082	-1.18649
0.33	82.50375	-2.39947	84.86257	-2.26963
0.34	29.39681	-2.67842	32.03782	-2.61546
0.35	17.48529	-2.75252	20.14827	-2.73060
0.36	13.19166	-2.78350	15.89554	-2.80189
0.37	10.15120	-2.81005	12.82320	-2.86591
0.38	7.82239	-2.78940	10.65755	-2.92645
0.39	6.70724	-2.82269	9.67903	-2.96394
0.40	5.32064	-2.79177	8.52158	-3.02200
0.41	4.55900	-2.73145	7.75907	-3.07240
0.42	3.90717	-2.73164	7.16437	-3.11978
0.43	3.09170	-2.61689	6.38550	3.09068
0.44	3.00029	-2.63296	6.12865	3.07133
0.45	2.44585	-2.50921	5.61660	2.97762
0.46	2.22802	-2.40169	5.38467	2.91299
0.47	2.04444	-2.24059	5.20113	2.79201
0.48	2.03756	-2.22937	5.15354	2.75051
0.49	1.96911	-2.07612	5.09944	2.69366
0.50	2.06966	-1.95489	5.30460	2.60598
0.51	2.68534	-1.70177	5.75081	2.46760
0.52	3.01123	-1.71481	6.03970	2.40940
0.53	4.01142	-1.58242	6.93456	2.31223
0.54	5.49542	-1.57952	8.10573	2.21344
0.55	9.36514	-1.57038	11.92666	2.12466
0.56	22.04794	-1.62047	23.77583	1.95856
0.57	49.20665	-2.61479	47.74305	0.86486
0.58	18.03023	3.13878	15.97816	0.40162
0.59	11.69252	2.94454	9.96517	0.36609
0.60	8.06156	3.00335	6.50459	0.34559
0.61	6.00129	2.89751	4.42500	0.28337
0.62	4.74486	2.84689	3.21195	0.25979
0.63	4.06462	2.78603	2.43133	0.27073
0.64	3.80432	2.73122	2.16691	0.25613
0.65	3.65987	2.59892	2.02737	0.22501
0.66	3.40890	2.64678	1.64414	0.22143
0.67	3.26802	2.65981	1.49133	0.20538
0.68	3.09016	2.62948	1.26321	0.24050
0.69	2.93819	2.60271	1.12676	0.22051
