AutoResonance.py data
Wed Oct 15 15:39:41 2025
amplitude 1.50
frequency range 0.15 to 1.00 by 0.01 Hz
sampling period 100 ms, 1024 points per sample set taken 120 seconds after frequency adjustment

Frequency	C1 amp	C1 phase	C2 Amp	C2 phase	C3 amp	C3 phase
0.15	3.55119	-0.75501	2.16239	-1.08512	0.00000	-2.68445
0.16	3.61344	-0.76279	2.19242	-1.08691	0.00000	-0.30635
0.17	3.59421	-0.83655	2.22441	-1.13446	0.00000	0.60145
0.18	3.71265	-0.82604	2.19641	-1.13984	0.00000	0.07740
0.19	3.76799	-0.85394	2.32349	-1.18052	0.00000	-1.94045
0.20	3.76714	-0.97909	2.34446	-1.29283	0.00000	0.95908
0.21	4.01552	-0.89382	2.45994	-1.13487	0.00000	2.55302
0.22	4.20786	-0.94855	2.64205	-1.23150	0.00000	-0.46044
0.23	4.48475	-0.98461	2.85143	-1.23719	0.00000	-1.76880
0.24	5.14194	-1.06584	3.33663	-1.26334	0.00000	1.73614
0.25	5.33695	-1.01190	3.51623	-1.21619	0.00000	-2.37669
0.26	5.64115	-1.04271	3.76185	-1.21990	0.00000	-1.68567
0.27	6.30747	-1.16746	4.32343	-1.31578	0.00000	-2.44009
0.28	7.59396	-1.17570	5.42308	-1.28220	0.00000	1.55526
0.29	9.49168	-1.24361	7.31749	-1.31894	0.00000	-2.12203
0.30	13.28552	-1.51111	11.24932	-1.47402	0.51049	-2.10023
0.31	5.41220	-1.64250	4.61991	-2.23465	2.14497	-2.98161
0.32	5.65865	-1.83036	5.30498	-2.38387	2.21958	-3.02995
0.33	5.38580	-1.89938	5.39616	-2.52855	2.41326	3.14012
0.34	5.68590	-2.00696	6.19044	-2.61766	2.41158	3.12147
0.35	5.62430	-2.10953	6.31507	-2.69586	2.31247	3.00985
0.36	5.00713	-2.08986	5.87835	-2.79651	2.31839	2.89399
0.37	4.39827	-2.01958	4.93132	-2.99083	2.65937	2.78089
0.38	4.08027	-1.94362	4.68705	-3.04868	2.79379	2.73726
0.39	4.09994	-1.95707	4.60925	3.13175	2.77546	2.63219
0.40	4.49453	-2.04678	4.66231	3.02418	2.77817	2.42003
0.41	4.24685	-2.03204	4.77234	3.07571	2.37159	2.33823
0.42	4.19456	-1.94500	4.40610	2.93555	2.72635	2.28258
0.43	4.29341	-2.08343	4.66119	2.84668	2.43762	2.15415
0.44	4.31871	-2.14269	4.66334	2.75339	2.48529	2.07580
0.45	4.67157	-1.99733	4.64146	2.64545	2.78978	1.92930
0.46	4.83309	-2.08123	4.66403	2.48452	3.11299	1.96203
0.47	5.04571	-2.06327	4.85012	2.35713	3.30956	1.91606
0.48	5.27705	-1.99517	5.07616	2.36899	3.35541	1.82402
0.49	5.74087	-1.98120	5.44385	2.22309	3.50073	1.80745
0.50	6.44774	-1.95931	5.95283	2.15407	3.77684	1.76154
0.51	7.38804	-2.02068	6.61834	1.99045	4.18280	1.68895
0.52	3.17448	-1.98816	5.66637	2.11595	0.00000	-2.06222
0.53	4.14158	-1.91228	6.49965	2.02474	0.00000	-2.17018
0.54	5.63300	-1.93410	7.58244	1.91431	0.00000	2.37868
0.55	8.28545	-1.91312	9.79811	1.70850	0.13801	1.01309
0.56	8.77987	3.12822	4.42489	0.76585	4.31835	0.34632
0.57	5.85509	3.05644	2.97554	1.04044	2.66317	0.01720
0.58	4.91767	-3.10078	3.51541	1.23446	2.08682	-0.27421
0.59	4.87181	3.03986	3.06697	0.92826	1.81987	-0.40261
0.60	4.08893	2.94135	2.40048	1.00296	1.83353	-0.61294
0.61	3.53979	3.09741	2.67594	1.14866	2.11830	-1.04943
0.62	3.50293	2.98154	2.63427	0.91518	1.85491	-1.33290
0.63	3.61333	2.81527	2.71891	0.62771	1.64436	-1.69556
0.64	3.53944	2.75424	2.26892	0.48688	1.18118	-1.78632
0.65	3.38266	2.57869	1.81776	0.36961	0.82913	-1.72319
0.66	3.35528	2.41487	1.54010	0.07064	0.00000	0.62078
0.67	3.13668	2.40162	1.35422	0.07271	0.00000	-0.68858
0.68	2.95474	2.44829	1.19060	0.09484	0.00000	2.88265
0.69	2.83458	2.34757	1.03422	0.11804	0.00000	-1.32466
0.70	2.77098	2.19831	0.99896	0.12894	0.00000	-0.73829
0.71	2.68807	2.36980	0.94055	0.18400	0.00000	-1.52486
0.72	2.62256	2.37011	0.87360	0.12730	0.00000	2.74984
0.73	2.51735	2.21209	0.78590	0.09863	0.00000	-0.70682
0.74	2.38275	2.24424	0.68080	0.19809	0.00000	0.48356
0.75	2.29543	2.03531	0.66244	0.16442	0.00000	-0.35571
0.76	2.22740	2.27399	0.62316	0.25169	0.00000	-2.11515
0.77	2.15981	2.23356	0.59070	0.34453	0.00000	1.32576
0.78	2.12705	2.24403	0.54286	0.38617	0.00000	-2.80323
0.79	1.94294	2.06594	0.00130	1.94361	0.00000	-2.32372
0.80	1.90441	2.04314	0.00000	2.78821	0.00000	2.78821
0.81	1.83629	1.97576	0.00000	0.21999	0.00000	0.21999
0.82	1.77609	1.97700	0.00000	2.53128	0.00000	2.53128
0.83	1.71331	2.06681	0.00000	-2.75328	0.00000	-2.75328
0.84	1.65641	1.96076	0.00000	3.06471	0.00000	3.06471
0.85	1.58883	2.00301	0.00000	1.04421	0.00000	1.04421
0.86	1.53237	1.99687	0.00000	-2.39466	0.00000	-2.39466
0.87	1.47398	2.02404	0.00000	-0.91476	0.00000	-0.91476
0.88	1.41625	1.91050	0.00000	-0.93698	0.00000	-0.93698
0.89	1.38012	1.80795	0.00000	-2.36429	0.00000	-2.36429
0.90	1.33839	1.70451	0.00000	0.55168	0.00000	0.55168
0.91	1.28459	1.88408	0.00000	2.61881	0.00000	2.61881
0.92	1.22106	1.80092	0.00000	3.00493	0.00000	3.00493
0.93	1.17055	1.86207	0.00000	2.31543	0.00000	2.31543
0.94	1.08959	1.88140	0.00000	0.08832	0.00000	0.08832
0.95	1.00879	1.96189	0.00000	2.90681	0.00000	2.90681
0.96	0.96742	1.84564	0.00000	-2.00694	0.00000	-2.00694
0.97	0.91862	1.92821	0.00000	-2.00679	0.00000	-2.00679
0.98	0.83579	1.78820	0.00000	2.23249	0.00000	2.23249
0.99	0.81853	1.66792	0.00000	-0.88687	0.00000	-0.88687
